!Username	ElementId	Amount	Difference
barbaroux	6103001	200	NULL
BeardedNerd	300801	50	NULL
BeardedNerd	306901	300	NULL
BeardedNerd	4114026	500	NULL
BeardedNerd	4125253	400	NULL
BeardedNerd	4210997	100	NULL
BeardedNerd	4211055	200	NULL
BeardedNerd	4211063	500	NULL
BeardedNerd	4211065	200	NULL
BeardedNerd	4211085	300	NULL
BeardedNerd	4211088	400	NULL
BeardedNerd	4211388	500	NULL
BeardedNerd	4211398	600	NULL
BeardedNerd	4249891	300	NULL
BeardedNerd	4255413	200	NULL
BeardedNerd	4264569	200	NULL
BeardedNerd	4269651	10	NULL
BeardedNerd	4515374	50	NULL
BeardedNerd	4521947	200	NULL
BeardedNerd	4521948	200	NULL
BeardedNerd	4536521	100	NULL
BeardedNerd	4536998	100	NULL
BeardedNerd	4558952	200	NULL
BeardedNerd	4616578	200	NULL
BeardedNerd	4616581	200	NULL
BeardedNerd	6009656	200	NULL
BeardedNerd	6047501	200	NULL
BeardedNerd	6071229	200	NULL
BeardedNerd	6075208	200	NULL
BeardedNerd	6075617	100	NULL
bileam	242328	100	NULL
bileam	4129872	200	NULL
bileam	4211063	200	NULL
bileam	4211194	100	NULL
bileam	4211288	200	NULL
bileam	4211398	900	NULL
bileam	4249891	300	NULL
bileam	4255413	200	NULL
bileam	4264569	200	NULL
bileam	4269651	5	NULL
bileam	4504375	400	NULL
bileam	4528604	200	NULL
bileam	4536521	50	NULL
bileam	4536998	50	NULL
bileam	4570877	500	NULL
bileam	4613823	100	NULL
bileam	4614158	500	NULL
bileam	4656783	100	NULL
bileam	6000311	100	NULL
bileam	6006524	50	NULL
bileam	6014648	200	NULL
bileam	6023209	100	NULL
bileam	6044702	300	NULL
bileam	6055309	100	NULL
bileam	6055509	200	NULL
bileam	606428	50	NULL
bileam	6078605	200	NULL
Bizzy78	306901	300	NULL
Bizzy78	4211055	1000	NULL
Bizzy78	4211088	100	NULL
Bizzy78	4211194	50	NULL
Bizzy78	4211288	200	NULL
Bizzy78	4211388	100	NULL
Bizzy78	4211398	200	NULL
